Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,7,3,5,False,2022-11-15 11:57:53+00:00,/app/media/2022/11/15/caja-7-08-57-53..jpg,True,0,Multicompra,,sco,2022-11-15 11:57:53.708288+00:00,2022-11-15 15:00:25.681333+00:00,1,,,166477921,
,0,3,0,False,2022-11-15 12:00:36+00:00,/app/media/2022/11/15/caja-0-09-00-36..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 12:00:36.128943+00:00,2022-11-15 15:00:45.919833+00:00,1,2022-11-15 12:01:02.858000+00:00,2022-11-15 12:00:36.203115+00:00,166477921,
,0,3,0,False,2022-11-15 12:23:50+00:00,/app/media/2022/11/15/caja-0-09-23-50..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 12:23:51.011269+00:00,2022-11-15 15:24:31.285213+00:00,1,2022-11-15 12:24:17.796000+00:00,2022-11-15 12:23:52.380914+00:00,166477921,
,0,3,0,False,2022-11-15 13:14:39+00:00,/app/media/2022/11/15/caja-0-10-14-39..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 13:14:40.380960+00:00,2022-11-15 16:15:12.335117+00:00,1,2022-11-15 13:15:07.196000+00:00,2022-11-15 13:14:42.657844+00:00,166477921,
,0,3,0,False,2022-11-15 13:48:57+00:00,/app/media/2022/11/15/caja-0-10-48-57..jpg,True,0,Carro Vacío,,carrazo,2022-11-15 13:48:57.504277+00:00,2022-11-15 16:49:05.843343+00:00,1,2022-11-15 13:49:24.329000+00:00,2022-11-15 13:48:58.890689+00:00,166477921,
,7,3,24,False,2022-11-15 13:58:01+00:00,/app/media/2022/11/15/caja-7-10-58-01..jpg,True,0,Carro Vacío,,sco,2022-11-15 13:58:02.276417+00:00,2022-11-15 16:58:47.910288+00:00,1,2022-11-15 13:58:29.132000+00:00,2022-11-15 13:58:03.800176+00:00,166477921,
,0,3,0,False,2022-11-15 14:04:23+00:00,/app/media/2022/11/15/caja-0-11-04-23..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-15 14:04:23.045933+00:00,2022-11-15 17:07:26.849804+00:00,1,2022-11-15 14:04:49.961000+00:00,2022-11-15 14:04:24.658628+00:00,166477921,
,8,3,29,False,2022-11-15 14:05:49+00:00,/app/media/2022/11/15/caja-8-11-05-49..jpg,True,0,Carro Vacío,,sco,2022-11-15 14:05:49.969422+00:00,2022-11-15 17:06:00.657392+00:00,1,2022-11-15 14:06:16.848000+00:00,2022-11-15 14:05:50.137244+00:00,166477921,
,7,3,30,False,2022-11-15 14:29:19+00:00,/app/media/2022/11/15/caja-7-11-29-19..jpg,True,0,Carro Vacío,,sco,2022-11-15 14:29:19.241871+00:00,2022-11-15 17:29:33.048317+00:00,1,2022-11-15 14:29:45.990000+00:00,2022-11-15 14:29:20.719363+00:00,166477921,
,0,3,0,False,2022-11-15 14:32:28+00:00,/app/media/2022/11/15/caja-0-11-32-28..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-15 14:32:28.387776+00:00,2022-11-15 17:32:49.098733+00:00,1,2022-11-15 14:32:55.138000+00:00,2022-11-15 14:32:29.756004+00:00,166477921,
