Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,10,3,10,False,2022-11-14 12:09:47+00:00,/app/media/2022/11/14/caja-10-09-09-47..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 12:09:47.499286+00:00,2022-11-14 15:48:37.166029+00:00,1,,,166477921,
,2,3,8,False,2022-11-14 12:12:35+00:00,/app/media/2022/11/14/caja-2-09-12-35..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 12:12:36.073525+00:00,2022-11-14 15:49:08.952140+00:00,1,,,166477921,
,0,3,0,False,2022-11-14 12:14:12+00:00,/app/media/2022/11/14/caja-0-09-14-12..jpg,True,0,Intervención Cajera,,simulacion,2022-11-14 12:14:12.762914+00:00,2022-11-14 15:48:54.451444+00:00,1,,,166477921,
,0,3,0,False,2022-11-14 12:19:57+00:00,/app/media/2022/11/14/caja-0-09-19-57..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-11-14 12:19:57.162131+00:00,2022-11-14 15:48:22.128980+00:00,1,,,166477921,
,0,3,0,False,2022-11-14 12:39:06+00:00,/app/media/2022/11/14/caja-0-09-39-06..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-14 12:39:06.902674+00:00,2022-11-14 15:48:07.796257+00:00,1,,,166477921,
,2,3,14,False,2022-11-14 12:42:06+00:00,/app/media/2022/11/14/caja-2-09-42-06..jpg,True,0,Sin Control,,sco,2022-11-14 12:42:07.024305+00:00,2022-11-14 15:47:46.125724+00:00,1,,,166477921,
,7,3,11,False,2022-11-14 12:52:54+00:00,/app/media/2022/11/14/caja-7-09-52-54..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 12:52:54.338335+00:00,2022-11-14 15:53:17.418375+00:00,1,2022-11-14 12:53:19.885000+00:00,2022-11-14 12:52:55.819521+00:00,166477921,
,7,3,12,False,2022-11-14 12:58:48+00:00,/app/media/2022/11/14/caja-7-09-58-48..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 12:58:48.587449+00:00,2022-11-14 16:02:04.289582+00:00,1,2022-11-14 12:59:14.178000+00:00,2022-11-14 12:58:50.098107+00:00,166477921,
,1,3,23,False,2022-11-14 13:05:20+00:00,/app/media/2022/11/14/caja-1-10-05-20..jpg,True,0,Carro Vacío,,sco,2022-11-14 13:05:20.984072+00:00,2022-11-14 16:05:29.661601+00:00,1,2022-11-14 13:05:46.596000+00:00,2022-11-14 13:05:22.424611+00:00,166477921,
,7,3,14,False,2022-11-14 13:21:03+00:00,/app/media/2022/11/14/caja-7-10-21-03..jpg,True,0,Carro Vacío,,sco,2022-11-14 13:21:03.191765+00:00,2022-11-14 16:21:09.946233+00:00,1,2022-11-14 13:21:28.842000+00:00,2022-11-14 13:21:04.623174+00:00,166477921,
,6,3,17,False,2022-11-14 13:29:04+00:00,/app/media/2022/11/14/caja-6-10-29-04..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 13:29:05.063858+00:00,2022-11-14 16:30:31.388888+00:00,1,2022-11-14 13:29:30.668000+00:00,2022-11-14 13:29:05.219306+00:00,166477921,
,0,3,0,False,2022-11-14 13:30:38+00:00,/app/media/2022/11/14/caja-0-10-30-38..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-14 13:30:38.097826+00:00,2022-11-14 16:32:48.573062+00:00,1,,,166477921,
,6,3,18,False,2022-11-14 13:31:23+00:00,/app/media/2022/11/14/caja-6-10-31-23..jpg,True,0,Cliente Pagó en SCO,,sco,2022-11-14 13:31:24.039796+00:00,2022-11-14 16:32:32.681333+00:00,1,,,166477921,
,0,3,0,False,2022-11-14 13:31:58+00:00,/app/media/2022/11/14/caja-0-10-31-58..jpg,True,0,Cliente Pagó en SCO,,simulacion,2022-11-14 13:31:58.102527+00:00,2022-11-14 16:32:14.577446+00:00,1,2022-11-14 13:32:23.738000+00:00,2022-11-14 13:31:58.248359+00:00,166477921,
