Zona,Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
,12,95,11,False,2022-11-13 14:37:55+00:00,/app/media/2022/11/13/caja-12-11-37-55..jpg,True,0,Sin Control,,sco,2022-11-13 14:37:55.597447+00:00,2022-11-13 17:38:47.040363+00:00,1,2022-11-13 14:38:08.978000+00:00,2022-11-13 14:37:57.240723+00:00,125097030,
,11,95,18,False,2022-11-13 14:40:56+00:00,/app/media/2022/11/13/caja-11-11-40-56..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-13 14:40:56.458647+00:00,2022-11-13 17:41:52.388990+00:00,1,2022-11-13 14:41:09.914000+00:00,2022-11-13 14:40:58.015638+00:00,125097030,
,2,95,22,False,2022-11-13 14:53:52+00:00,/app/media/2022/11/13/caja-2-11-53-52..jpg,True,0,Error de Reconocimiento,,sco,2022-11-13 14:53:52.856606+00:00,2022-11-13 17:54:09.969201+00:00,1,2022-11-13 14:54:06.325000+00:00,2022-11-13 14:53:54.553914+00:00,125097030,
,11,95,20,False,2022-11-13 14:59:35+00:00,/app/media/2022/11/13/caja-11-11-59-35..jpg,True,0,Sin Control,,sco,2022-11-13 14:59:36.029163+00:00,2022-11-13 18:07:58.807133+00:00,1,2022-11-13 14:59:49.457000+00:00,2022-11-13 14:59:37.656465+00:00,125097030,
,7,95,3,False,2022-11-13 15:24:23+00:00,/app/media/2022/11/13/caja-7-12-24-23..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-13 15:24:23.478340+00:00,2022-11-13 18:24:34.335310+00:00,1,2022-11-13 15:24:36.952000+00:00,2022-11-13 15:24:25.133706+00:00,125097030,
,6,95,6,False,2022-11-13 15:28:59+00:00,/app/media/2022/11/13/caja-6-12-28-59..jpg,True,0,Multicompra,,sco,2022-11-13 15:29:00.029091+00:00,2022-11-13 18:36:32.742885+00:00,1,2022-11-13 15:29:13.537000+00:00,2022-11-13 15:29:01.750888+00:00,125097030,
,12,95,24,False,2022-11-13 15:32:37+00:00,/app/media/2022/11/13/caja-12-12-32-37..jpg,True,0,Multicompra,,sco,2022-11-13 15:32:37.792965+00:00,2022-11-13 18:33:33.401063+00:00,1,2022-11-13 15:32:51.228000+00:00,2022-11-13 15:32:38.015567+00:00,125097030,
,6,95,10,False,2022-11-13 15:38:27+00:00,/app/media/2022/11/13/caja-6-12-38-27..jpg,True,0,Carro de otro cliente,,sco,2022-11-13 15:38:27.755418+00:00,2022-11-13 18:38:55.041683+00:00,1,2022-11-13 15:38:41.250000+00:00,2022-11-13 15:38:29.513764+00:00,125097030,
,2,95,31,False,2022-11-13 15:42:48+00:00,/app/media/2022/11/13/caja-2-12-42-48..jpg,True,0,Error de Reconocimiento,,sco,2022-11-13 15:42:48.228291+00:00,2022-11-13 18:44:56.929117+00:00,1,2022-11-13 15:43:01.655000+00:00,2022-11-13 15:42:49.863791+00:00,125097030,
,6,95,12,False,2022-11-13 15:51:25+00:00,/app/media/2022/11/13/caja-6-12-51-25..jpg,True,0,Intervención Cajera,,sco,2022-11-13 15:51:26.085585+00:00,2022-11-13 18:51:50.811229+00:00,1,2022-11-13 15:51:39.603000+00:00,2022-11-13 15:51:27.856871+00:00,125097030,
,0,95,0,False,2022-11-13 15:59:03+00:00,/app/media/2022/11/13/caja-0-12-59-03..jpg,True,0,Sin Control,,simulacion,2022-11-13 15:59:03.332721+00:00,2022-11-13 19:02:30.343535+00:00,1,2022-11-13 15:59:16.762000+00:00,2022-11-13 15:59:05.013331+00:00,125097030,
,8,95,14,False,2022-11-13 16:02:46+00:00,/app/media/2022/11/13/caja-8-13-02-46..jpg,True,0,Carro de otro cliente,,sco,2022-11-13 16:02:46.699666+00:00,2022-11-13 19:08:46.483936+00:00,1,,,125097030,
,6,95,15,False,2022-11-13 16:04:01+00:00,/app/media/2022/11/13/caja-6-13-04-01..jpg,True,0,Error de Reconocimiento,,sco,2022-11-13 16:04:01.828957+00:00,2022-11-13 19:07:56.958410+00:00,1,2022-11-13 16:04:15.324000+00:00,2022-11-13 16:04:03.485575+00:00,125097030,
,6,95,16,False,2022-11-13 16:17:01+00:00,/app/media/2022/11/13/caja-6-13-17-01..jpg,True,0,Sin Control,,sco,2022-11-13 16:17:02.007227+00:00,2022-11-13 19:17:29.987595+00:00,1,2022-11-13 16:17:15.422000+00:00,2022-11-13 16:17:03.787227+00:00,125097030,
,6,95,17,False,2022-11-13 16:21:48+00:00,/app/media/2022/11/13/caja-6-13-21-48..jpg,True,0,Sin Control,,sco,2022-11-13 16:21:48.296297+00:00,2022-11-13 19:23:09.828509+00:00,1,2022-11-13 16:22:01.634000+00:00,2022-11-13 16:21:49.946855+00:00,125097030,
,11,95,42,False,2022-11-13 16:34:27+00:00,/app/media/2022/11/13/caja-11-13-34-27..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-13 16:34:27.321000+00:00,2022-11-13 19:35:11.396784+00:00,1,2022-11-13 16:34:40.733000+00:00,2022-11-13 16:34:29.044070+00:00,125097030,
,11,95,43,False,2022-11-13 16:39:37+00:00,/app/media/2022/11/13/caja-11-13-39-37..jpg,True,0,Bolsa Reutilizable,,sco,2022-11-13 16:39:37.820628+00:00,2022-11-13 19:39:50.296204+00:00,1,2022-11-13 16:39:51.215000+00:00,2022-11-13 16:39:39.553250+00:00,125097030,
