Caja,Sucursal,ID Cámara,¿Alarma?,Fecha y Hora,Imagen,¿Gestionada?,Merma,Motivo Descarte,Recuperación,Tipo de Alerta,Hora Despliegue Alerta,Hora Gestión Alerta,Folio,Fecha Hora Cliente Acuse Recibo,Fecha Hora Servidor Acuse Recibo,Usuario,Detenido
1,121,3,False,2022-10-21 11:51:20+00:00,/app/media/2022/10/21/caja-1-08-51-20..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 11:51:20.485194+00:00,2022-10-21 20:47:16.451002+00:00,1,2022-10-21 11:48:53.659000+00:00,2022-10-21 11:51:20.607449+00:00,142205394,
6,121,7,False,2022-10-21 12:21:56+00:00,/app/media/2022/10/21/caja-6-09-21-56..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 12:21:56.384506+00:00,2022-10-21 20:47:37.091033+00:00,1,2022-10-21 12:19:29.544000+00:00,2022-10-21 12:21:56.462645+00:00,142205394,
7,121,10,False,2022-10-21 12:58:43+00:00,/app/media/2022/10/21/caja-7-09-58-43..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 12:58:43.501662+00:00,2022-10-21 20:51:07.407544+00:00,1,2022-10-21 12:56:16.647000+00:00,2022-10-21 12:58:43.621638+00:00,142205394,
3,121,5,False,2022-10-21 13:05:35+00:00,/app/media/2022/10/21/caja-3-10-05-35..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:05:35.290519+00:00,2022-10-21 20:50:56.456590+00:00,1,2022-10-21 13:03:08.424000+00:00,2022-10-21 13:05:35.360783+00:00,142205394,
6,121,16,False,2022-10-21 13:06:43+00:00,/app/media/2022/10/21/caja-6-10-06-43..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:06:43.961260+00:00,2022-10-21 20:50:45.476208+00:00,1,2022-10-21 13:04:17.096000+00:00,2022-10-21 13:06:44.030172+00:00,142205394,
2,121,13,False,2022-10-21 13:32:47+00:00,/app/media/2022/10/21/caja-2-10-32-47..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:32:47.658424+00:00,2022-10-21 20:50:31.333027+00:00,1,2022-10-21 13:30:20.784000+00:00,2022-10-21 13:32:47.737580+00:00,142205394,
7,121,19,False,2022-10-21 13:44:59+00:00,/app/media/2022/10/21/caja-7-10-44-59..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:45:00.036827+00:00,2022-10-21 20:50:17.984340+00:00,1,2022-10-21 13:42:33.147000+00:00,2022-10-21 13:45:00.103739+00:00,142205394,
3,121,8,False,2022-10-21 13:45:57+00:00,/app/media/2022/10/21/caja-3-10-45-57..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:45:57.623893+00:00,2022-10-21 20:50:06.587759+00:00,1,2022-10-21 13:43:30.731000+00:00,2022-10-21 13:45:57.688868+00:00,142205394,
1,121,28,False,2022-10-21 13:46:30+00:00,/app/media/2022/10/21/caja-1-10-46-30..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:46:30.503868+00:00,2022-10-21 20:49:47.408767+00:00,1,2022-10-21 13:44:03.612000+00:00,2022-10-21 13:46:30.563658+00:00,142205394,
6,121,21,False,2022-10-21 13:46:49+00:00,/app/media/2022/10/21/caja-6-10-46-49..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:46:49.288814+00:00,2022-10-21 20:49:19.090679+00:00,1,2022-10-21 13:44:22.396000+00:00,2022-10-21 13:46:49.332177+00:00,142205394,
5,121,28,False,2022-10-21 13:47:34+00:00,/app/media/2022/10/21/caja-5-10-47-34..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:47:34.937471+00:00,2022-10-21 20:49:03.570529+00:00,1,2022-10-21 13:45:08.048000+00:00,2022-10-21 13:47:35.000493+00:00,142205394,
4,121,9,False,2022-10-21 13:47:43+00:00,/app/media/2022/10/21/caja-4-10-47-43..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 13:47:43.542612+00:00,2022-10-21 20:48:33.790637+00:00,1,2022-10-21 13:45:16.652000+00:00,2022-10-21 13:47:43.574936+00:00,142205394,
5,121,31,False,2022-10-21 14:03:19+00:00,/app/media/2022/10/21/caja-5-11-03-19..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:03:19.821620+00:00,2022-10-21 20:48:23.665907+00:00,1,2022-10-21 14:00:52.913000+00:00,2022-10-21 14:03:19.948968+00:00,142205394,
7,121,21,False,2022-10-21 14:03:31+00:00,/app/media/2022/10/21/caja-7-11-03-31..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:03:31.303031+00:00,2022-10-21 20:48:13.424161+00:00,1,2022-10-21 14:01:04.394000+00:00,2022-10-21 14:03:31.343731+00:00,142205394,
7,121,23,False,2022-10-21 14:08:44+00:00,/app/media/2022/10/21/caja-7-11-08-44..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:08:44.621251+00:00,2022-10-21 20:48:01.024119+00:00,1,2022-10-21 14:06:17.709000+00:00,2022-10-21 14:08:44.689518+00:00,142205394,
2,121,21,False,2022-10-21 14:09:49+00:00,/app/media/2022/10/21/caja-2-11-09-49..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:09:49.801556+00:00,2022-10-21 20:47:48.256210+00:00,1,2022-10-21 14:07:22.891000+00:00,2022-10-21 14:09:49.868607+00:00,142205394,
7,121,24,False,2022-10-21 14:11:12+00:00,/app/media/2022/10/21/caja-7-11-11-12..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:11:12.275848+00:00,2022-10-21 20:47:01.789820+00:00,1,2022-10-21 14:08:45.362000+00:00,2022-10-21 14:11:12.339244+00:00,142205394,
4,121,13,False,2022-10-21 14:15:25+00:00,/app/media/2022/10/21/caja-4-11-15-25..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:15:25.867652+00:00,2022-10-21 20:46:49.425894+00:00,1,2022-10-21 14:12:58.948000+00:00,2022-10-21 14:15:25.931980+00:00,142205394,
7,121,27,False,2022-10-21 14:19:20+00:00,/app/media/2022/10/21/caja-7-11-19-20..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:19:20.897859+00:00,2022-10-21 20:46:35.846135+00:00,1,2022-10-21 14:16:53.980000+00:00,2022-10-21 14:19:20.967866+00:00,142205394,
7,121,28,False,2022-10-21 14:21:19+00:00,/app/media/2022/10/21/caja-7-11-21-19..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:21:19.597817+00:00,2022-10-21 20:46:26.330152+00:00,1,2022-10-21 14:18:52.685000+00:00,2022-10-21 14:21:19.661945+00:00,142205394,
7,121,29,False,2022-10-21 14:22:10+00:00,/app/media/2022/10/21/caja-7-11-22-10..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:22:11.095343+00:00,2022-10-21 20:46:07.196508+00:00,1,2022-10-21 14:19:44.181000+00:00,2022-10-21 14:22:11.163982+00:00,142205394,
1,121,38,False,2022-10-21 14:28:42+00:00,/app/media/2022/10/21/caja-1-11-28-42..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 14:28:42.406449+00:00,2022-10-21 20:44:28.895049+00:00,1,2022-10-21 14:26:15.484000+00:00,2022-10-21 14:28:42.482503+00:00,142205394,
2,121,29,False,2022-10-21 14:36:57+00:00,/app/media/2022/10/21/caja-2-11-36-57..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:36:57.673675+00:00,2022-10-21 20:44:00.862152+00:00,1,2022-10-21 14:34:30.747000+00:00,2022-10-21 14:36:57.743288+00:00,142205394,
2,121,30,False,2022-10-21 14:39:45+00:00,/app/media/2022/10/21/caja-2-11-39-45..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:39:45.279428+00:00,2022-10-21 20:43:49.543404+00:00,1,2022-10-21 14:37:18.357000+00:00,2022-10-21 14:39:45.351458+00:00,142205394,
1,121,42,False,2022-10-21 14:43:25+00:00,/app/media/2022/10/21/caja-1-11-43-25..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:43:25.446450+00:00,2022-10-21 20:43:33.642121+00:00,1,2022-10-21 14:40:58.518000+00:00,2022-10-21 14:43:25.513447+00:00,142205394,
0,121,0,False,2022-10-21 14:43:30+00:00,/app/media/2022/10/21/caja-0-11-43-30..jpg,True,0,Cliente Pagó en SCO,,carrazo,2022-10-21 14:43:30.226310+00:00,2022-10-21 20:43:13.611306+00:00,1,2022-10-21 14:41:03.297000+00:00,2022-10-21 14:43:30.259559+00:00,142205394,
7,121,35,False,2022-10-21 14:44:28+00:00,/app/media/2022/10/21/caja-7-11-44-28..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:44:29.013950+00:00,2022-10-21 20:42:50.373103+00:00,1,2022-10-21 14:42:02.085000+00:00,2022-10-21 14:44:29.079475+00:00,142205394,
6,121,32,False,2022-10-21 14:47:39+00:00,/app/media/2022/10/21/caja-6-11-47-39..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:47:39.774097+00:00,2022-10-21 20:42:35.022220+00:00,1,2022-10-21 14:45:12.849000+00:00,2022-10-21 14:47:39.828624+00:00,142205394,
7,121,36,False,2022-10-21 14:51:08+00:00,/app/media/2022/10/21/caja-7-11-51-08..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 14:51:08.635911+00:00,2022-10-21 20:42:21.515072+00:00,1,2022-10-21 14:48:41.698000+00:00,2022-10-21 14:51:08.700529+00:00,142205394,
4,121,24,False,2022-10-21 14:57:05+00:00,/app/media/2022/10/21/caja-4-11-57-05..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 14:57:05.533433+00:00,2022-10-21 20:42:05.142987+00:00,1,2022-10-21 14:54:38.589000+00:00,2022-10-21 14:57:05.605250+00:00,142205394,
4,121,30,False,2022-10-21 15:12:04+00:00,/app/media/2022/10/21/caja-4-12-12-04..jpg,True,0,Carro de otro cliente,,sco,2022-10-21 15:12:04.131042+00:00,2022-10-21 20:41:49.688969+00:00,1,2022-10-21 15:09:37.175000+00:00,2022-10-21 15:12:04.225051+00:00,142205394,
6,121,41,False,2022-10-21 15:26:56+00:00,/app/media/2022/10/21/caja-6-12-26-56..jpg,True,0,Error de Reconocimiento,,sco,2022-10-21 15:26:56.183989+00:00,2022-10-21 20:41:40.005036+00:00,1,2022-10-21 15:24:29.210000+00:00,2022-10-21 15:26:56.254459+00:00,142205394,
